EmployeeID,Age,Gender,Department,Salary,,,,
EMP1136,24,Male,Sales,889241,,,,
EMP1128,32,Female,Marketing,1133804,,,,
EMP1192,28,Male,Marketing,921201,,,,
EMP1067,25,Female,IT,1184624,,,,
EMP1120,38,Male,Operations,623161,,,,
EMP1112,43,Male,IT,972196,,,,
EMP1082,28,Male,Operations,608197,,,,
EMP1037,34,Male,Sales,767317,,,,
EMP1127,35,Female,HR,549632,,,Row Labels,Count of Department
EMP1188,47,Male,Operations,888821,,,Sales,40
EMP1086,42,Male,Sales,825460,,,Operations,31
EMP1050,35,Female,IT,1018494,,,Marketing,31
EMP1156,27,Female,IT,1372876,,,IT,56
EMP1122,33,Female,Marketing,469028,,,HR,20
EMP1051,38,Male,Marketing,1040242,,,Finance,22
EMP1196,25,Female,Sales,1089291,,,Grand Total,200
EMP1025,35,Male,Operations,881132,,,,
EMP1044,30,Male,Marketing,713488,,,,
EMP1010,49,Male,Finance,1075531,,,,
EMP1154,38,Male,Operations,970718,,,,
EMP1045,35,Male,Sales,828890,,,,
EMP1047,36,Male,Sales,807954,,,,
EMP1104,33,Female,Operations,830637,,,,
EMP1054,32,Male,Marketing,598382,,,,
EMP1160,43,Female,Finance,868283,,,,
EMP1066,26,Female,Operations,905875,,,,
EMP1180,25,Male,IT,1253983,,,,
EMP1041,32,Female,IT,1184400,,,,
EMP1093,23,Female,HR,483931,,,,
EMP1090,32,Female,Operations,944014,,,,
EMP1145,28,Male,Sales,789616,,,,
EMP1099,21,Female,IT,1169992,,,,
EMP1015,37,Female,IT,1164930,,,,
EMP1087,21,Male,Finance,1116537,,,,
EMP1146,22,Female,IT,1063909,,,,
EMP1172,21,Male,IT,1278249,,,,
EMP1064,33,Male,Sales,904173,,,,
EMP1195,32,Male,Sales,333614,,,,
EMP1175,45,Male,Finance,1106411,,,,
EMP1073,35,Female,IT,985159,,,,
EMP1017,32,Male,Sales,877718,,,,
EMP1052,29,Male,HR,538788,,,,
EMP1098,23,Male,Sales,738883,,,,
EMP1165,57,Female,IT,1333919,,,,
EMP1072,33,Female,IT,1162055,,,,
EMP1111,37,Male,Sales,1068637,,,,
EMP1005,35,Female,IT,1124833,,,,
EMP1187,39,Male,HR,521591,,,,
EMP1129,21,Male,IT,1035102,,,,
EMP1009,25,Male,Operations,580727,,,,
EMP1085,31,Female,Sales,661141,,,,
EMP1142,26,Male,Sales,761843,,,,
EMP1007,33,Male,IT,682648,,,,
EMP1151,31,Male,Marketing,657430,,,,
EMP1081,41,Female,Marketing,1007507,,,,
EMP1077,25,Female,HR,610734,,,,
EMP1107,48,Male,Sales,591905,,,,
EMP1083,21,Male,Sales,696025,,,,
EMP1164,34,Female,Operations,1015408,,,,
EMP1031,28,Female,Operations,300000,,,,
EMP1167,31,Female,Sales,894334,,,,
EMP1173,27,Male,Operations,656741,,,,
EMP1058,36,Female,IT,1519109,,,,
EMP1159,21,Female,IT,1014328,,,,
EMP1117,23,Male,HR,346130,,,,
EMP1194,25,Female,Finance,1336054,,,,
EMP1184,30,Female,Marketing,549777,,,,
EMP1103,44,Female,Sales,771878,,,,
EMP1116,21,Female,Marketing,1018838,,,,
EMP1068,27,Female,HR,537706,,,,
EMP1016,37,Male,IT,873920,,,,
EMP1134,24,Male,Sales,739141,,,,
EMP1190,37,Female,IT,747884,,,,
EMP1132,37,Female,IT,1031819,,,,
EMP1034,21,Male,Marketing,759390,,,,
EMP1071,26,Female,HR,627279,,,,
EMP1144,24,Male,Sales,745174,,,,
EMP1075,40,Male,Finance,1132673,,,,
EMP1140,36,Male,Marketing,578694,,,,
EMP1118,21,Male,IT,1482387,,,,
EMP1166,41,Male,HR,790733,,,,
EMP1003,37,Male,Finance,1060201,,,,
EMP1062,26,Other,Sales,307772,,,,
EMP1168,24,Female,IT,817737,,,,
EMP1019,33,Female,Sales,736784,,,,
EMP1039,39,Female,Finance,1206912,,,,
EMP1091,28,Male,IT,1203358,,,,
EMP1185,25,Female,Sales,934805,,,,
EMP1027,25,Other,IT,1308923,,,,
EMP1135,28,Male,Marketing,753813,,,,
EMP1011,24,Female,IT,909185,,,,
